ai_count,ai_mean,ai_std,backend,device_index,duration_sec,fps_avg,fps_min,fps_p10,fps_p90,frames,no_face_frames,ok,session,ts
210,0.00654,0.0032,DSHOW,0,8.31,108.12,18.43,61.94,143.43,210,0,True,1,2025-10-26T15:03:52.022396Z
234,0.01341,0.00383,MSMF,0,8.37,72762.32,19.33,67.31,275.79,234,0,True,2,2025-10-26T15:04:01.709361Z
228,0.07113,0.07507,DSHOW,0,15.36,84.25,10.29,37.55,136.21,228,0,True,3,2025-10-26T15:04:17.386345Z
